ID,Song,Artist_ID,Album_ID_1,Album_ID_2,Album_ID_3,Album_ID_4,Album_ID_5,Album_ID_6,Album_ID_7,Album_ID_8,Album_ID_9,Album_ID_10
1,Intro,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,We Don't Care,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,Graduation Day,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,All Falls Down,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,I'll Fly Away,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,Spaceship,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,Jesus Walks,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,Never Let Me Down,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,Get Em High,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,Workout Plan,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,The New Workout Plan,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,Slow Jamz,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,Breathe In Breathe Out,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,School Spirit Skit 1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,School Spirit,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,School Spirit Skit 2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,Lil Jimmy Skit,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,Two Words,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,Through The Wire,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,Family Business,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,Last Call,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,Wake Up Mr. West,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
